,business_id,name,postal_code,score
121,398,HENRY'S CAFETERIA,94105,100
122,400,COW HOLLOW CATERING,94123,99.5
123,401,STARBUCKS COFFEE,94105,100
124,403,HAAGEN-DAZS #561,94103,92.83333333
125,404,ELEVATION SALON & CAFE,94108,97
126,409,EL FARO,94105,98.66666667
127,413,HOUSE OF HUNAN,94107,79.66666667
128,415,CAFE MADELEINE,94108,86.66666667
129,420,BUSTER'S,94133,88
130,421,CAFFE ROMA COFFEE ROASTING CO,94133,97
131,422,MICHELANGELO CAFFE,94133,83
132,423,ORALE ORALE INC,94111,92.75
133,424,CHATZ,94107,96
134,425,MOCCA,94108,85.75
135,428,CAFFE AMBROSIA,94104,100
136,429,CALZONE'S,94133,94.75
137,430,ROSE PISTOLA,94133,92
138,431,BOHEMIAN CIGAR STORE,94133,94
139,435,VIENI-VIENI,94133,92.8
140,436,NORTH BEACH RESTAURANT,94133,81.5
141,438,HAWAII WEST,94133,85.66666667
142,442,MY CANH RESTAURANT,94133,84
143,443,THE STINKING ROSE,94133,75.6
144,444,VESUVIO CAFE,94133,88.33333333
145,447,L'OSTERIA DEL FORNO,94133,85.5
146,448,YUET LEE RESTAURANT,94133,78.4
147,462,GARDEN OF EDEN,94133,97.8
148,463,SAM'S PIZZA,94133,86.8
149,467,YOKOHAMA JAPANESE RESTAURANT,94133,84
150,468,TAQUERIA ZORRO,94133,85.66666667
151,469,VIVA PIZZA RESTAURANT,94133,79
152,470,FRANCHINO,94133,91
153,472,MONA LISA RESTAURANT,94133,84.75
154,473,CAFFE GRECO,94133,87
155,475,MARA'S,94133,87.75
156,477,IL POLLAIO,94133,89.4
157,479,RISTORANTE IDEALE,94133,92.5
158,480,MO'S GRILL,94133,91.25
159,483,MAYKADEH RESTAURANT,94133,94
160,484,COLUMBUS CAFE,94133,91.25
161,485,"SILVERHAT BAR, INC",94133,94
162,486,TOMMASO,94133,98.5
163,488,THE HOUSE,94133,93.4
164,489,DOL-HO RESTAURANT,94133,70
165,493,CAFE DIVINE,94133,82.33333333
166,494,SAN FRANCISCO ATHLETIC CLUB,94133,87.66666667
167,495,CINECITTA,94133,81.4
168,496,CAFFE TRIESTE,94133,89
169,499,SUTTER STREET CAFE,94108,83
170,500,ROXANNE CAFE,94108,83
171,502,COURTYARD BY MARRIOTT-COFFEE SHOP,94105,97.2
172,503,KIJI RESTAURANT,94110,91.25
173,505,QUICKLY,94112,93.6
174,507,VIKING'S GIANT SUB,94131,97.2
175,508,VICTORIA'S PIZZERIA,94121,99.66666667
176,509,CAFE BAKERY,94122,88.5
177,510,DONUT TIME,94122,85.83333333
178,515,TAZAKI SUSHI,94122,91.8
179,519,SHERATON PALACE - EMP.  CAFETERIA,94105,94
180,520,DAILY HEALTH,94122,81.2
181,521,CALIFORNIA CRISP,94132,90.4
182,522,BOUDIN SOURDOUGH BAKERY,94132,96.2
183,527,MELISA'S CHINESE CUISINE,94118,86.2
184,529,NIZARIO'S PIZZA,94118,93.33333333
185,538,MARNEE THAI RESTAURANT,94122,78
186,539,EL SALVADOR RESTAURANT,94110,93.2
187,542,HAMBURGER HAVEN,94118,90.75
188,544,THAI TIME RESTAURANT,94118,94.66666667
189,547,LITTLE HENRY'S,94121,96.66666667
190,549,MESCOLANZA,94121,98
191,551,GORDO TAQUERIA #1,94121,92.33333333
192,552,LOI'S VIETNAMESE RESTAURANT,94122,80
193,557,KATIA'S,94118,95
194,558,CAJUN PACIFIC,94122,91
195,560,NORA'S MARKET,94112,96.5
196,562,DESTINO RESTAURANT,94103,96.8
197,563,HANG FOOK BAKERY & RESTAURANT,94112,77.5
198,567,SAN FRANCISCO SOUP COMPANY,94105,95.2
199,573,MUFFIN'S MUFFIN,94105,90.66666667
200,580,TACO LOS ALTOS,94110,96.2
201,587,NEW TSING TAO RESTAURANT,94127,79.75
202,588,BURRITO EXPRESS,94116,88.2
203,589,WON TON HOUSE,94122,83.66666667
204,590,HAHN'S HIBACHI #6,94122,89
205,591,YOU SEE SUSHI,94122,89
206,595,MAY LEE'S RESTAURANT,94122,77
207,597,CAFFE DEL SOLE,94118,95
208,606,TSING TAO RESTAURANT,94121,92.5
209,610,POMELO,94122,85
210,615,J & A RESTAURANT,94112,90
211,616,BEEP'S BURGER,94112,97.6
212,619,A-1 BAKERY,94112,87.2
213,625,CALIFORNIA TENNIS CLUB,94115,93.6
214,627,EDDIES CAFE,94117,95.5
215,628,EL BURRITO EXPRESS #2,94115,92.14285714
216,631,SUBWAY SANDWICHES & SALADS,94115,91.83333333
217,632,ARANG RESTAURANT,94115,91
218,634,KING LEE'S RESTAURANT,94115,72.83333333
219,639,SWAN OYSTER DEPOT,94109,94.4
220,642,ANDERSEN BAKERY,94115,98.33333333
221,645,TAN-TAN,94115,97.6
222,651,FUKI SUSHI,94115,83
223,659,GOLDEN COFFEE,94109,87.4
224,665,BRAZEN HEAD RESTAURANT,94123,83.6
225,667,U-LEE RESTAURANT,94109,77.33333333
226,670,VIKINGS GIANT SUBMARINE SANDWICHES,94123,86.8
227,673,LOMBARD ALIVE SHOP,94123,96.8
228,674,GHIRARDELLI CHOCOLATE COMPANY & CAFE,94109,94.75
229,687,KITCHEN KURA,94122,74.33333333
230,691,MARINA SUBMARINE,94123,91.16666667
231,695,BARBARY COAST PASTRY & COFFEE,94102,95.6
232,696,NEW YORK NEW YORK PIZZA KITCHEN,94102,89.75
233,700,BAMBOO GARDEN,94102,76
234,703,THEM KY RESTAURANT,94109,87
235,709,MONG THU COFFEE SHOP,94102,92.5
236,711,HARRY HARRINGTON'S,94102,81
237,712,SAIGON SANDWICHES,94102,83
238,722,TAYLOR STREET COFFEE SHOP,94102,87.8
239,726,BEN WAH RESTAURANT,94115,91.8
240,727,FOOD INC.,94115,89.33333333
241,728,CUMAICA COFFEE COMPANY,94115,92
242,729,ASHOKA INDIAN CUISINE,94123,77
243,730,ALL STAR DONUTS,94123,92
244,741,MOZZARELLA DI BUFALA PIZZERIA II,94127,86.66666667
245,744,CAFE BELLINI,94103,87.2
246,750,123 DELI - LEE'S,94105,95
247,754,EDUCATED PALATE RESTAURANT,94103,89
248,758,BAKERY/ICE CREAM/STOREROOM,94105,96.5
249,759,KYO-YA RESTAURANT,94105,98
250,765,APERTO RESTAURANT,94107,91.8
251,768,MOSHI MOSHI,94107,87
252,770,CROWN DONUTS,94124,90.6
253,773,MARIPOSA HUNTERS POINT YACHT CLUB,94107,98
254,774,BAY VIEW BOAT CLUB,94107,96.66666667
255,783,LA CARNE ASADA RESTAURANT,94110,94
256,786,PIPERADE,94111,93.75
257,790,PAUL MART,94111,95.66666667
258,792,BOUDIN BAKERY,94133,94
259,795,BEN & JERRY'S,94133,93.5
260,796,HUNAN RESTAURANT,94111,81
261,798,SUSHI RAPTURE,94109,90.4
262,799,COURTYARD BY MARRIOTT AT FISHERMAN'S WHARF,94133,98.5
263,805,MAGIC WOK,94103,75.2
264,809,TRIPTYCH,94103,88.5
265,811,EDEN PLAZA CAFE,94107,95.33333333
266,816,B & J QUARTER POUNDER BURGERS,94124,90.66666667
267,818,WENDY'S CHEESE CAKE BAKERY,94124,76.4
268,824,BABY'S EATERY AND PALABOK,94112,90.6
269,826,ANGELINA'S DELI-CAFE & CATERING,94121,94
270,827,TAQUERIA EL FAROLITO NO. 2,94112,90.4
271,828,WALLY'S DIM SUM RESTAURANT,94112,81.6
272,830,LOS PLANES DE RENDEROS,94112,94.4
273,835,KAM PO KITCHEN,94133,78.2
274,840,MOLINARI DELICATESSEN,94133,77.2
275,842,DA FLORA,94133,90.25
276,843,ESTIA RESTAURANT,94133,80.66666667
277,845,CAFE JACQUELINE,94133,94.5
278,847,GOLDEN BOY PIZZA,94133,90
279,850,CAFFE SPORT,94133,88.66666667
280,852,NEW HOLLYWOOD BAKERY & RESTAURANT,94133,75.2
281,853,MEE HEONG BAKERY,94133,55
282,854,FIRENZE BY NIGHT,94133,64
283,856,DELFINA RESTAURANT,94110,93.8
284,860,CUP A JOE COFFEEHOUSE,94109,88.8
285,865,CANTEEN,94109,97.33333333
286,870,YAN'S KITCHEN,94111,82.66666667
287,873,"THE COFFEE ROASTER, INC.",94111,97.5
288,874,PANCHO'S SALSA BAR & GRILL,94109,91.83333333
289,876,"PATPONG THAI CUISINE, INC.",94121,91
290,880,DELICIOUS DIM SUM,94133,86.66666667
291,884,HOUSE OF NANKING,94133,90.8
292,886,LE PETIT CAFE,94111,88.75
293,891,LUCKY CREATION VEGETARIAN RESTAURANT LLC,94108,83.66666667
294,892,HAPPY DONUTS,94104,98.6
295,902,MARCELLO'S PIZZA,94114,95.5
296,903,SABRA RESTAURANT,94108,73.2
297,905,WORKING GIRLS' CAFE',94108,100
298,910,FRONT DOOR CAFE,94111,92
299,911,CAFE DOLCI,94102,100
300,913,456 DELI & CAFE,94104,100
301,917,TOWN & COUNTRY CLUB,94108,92.75
302,919,"RITZ-CARLTON, SF -  P-37 RESTAURANT AND BAR",94108,92
303,920,RITZ-CARLTON SF - CLUB LOUNGE,94108,94.4
304,921,RITZ-CARLTON SF - PANTRY PREP ROOM AND LOBBY BAR,94108,91.8
305,927,GOLDEN GATE PARK GOLF COURSE,94121,100
306,929,CAFE ETHIOPIA,94110,92.75
307,935,PEKING WOK RESTAURANT,94124,84.4
308,941,TWO JACKS SEAFOOD #2,94124,86.8
309,943,EL CASTILLITO TAQUERIA INC.,94114,88.75
310,949,BUFFALO BURGERS RESTAURANT,94121,88
311,950,IRVING PIZZA,94122,91.6
312,951,KENTUCKY FRIED CHICKEN #50,94122,94
313,952,SHANGRILA VEGETARIAN REST,94122,86.16666667
314,961,JAVA BEACH CAFE,94122,91.6
315,966,L'AVENIDA,94122,72
316,968,GOLDEN ISLAND CAFE,94122,92.5
317,969,LITTLE BEIJING RESTAURANT,94122,81.6
318,972,"MING TAI WUN TUN NOODLE, INC.",94122,90
319,977,"BAY PASTRY, THE",94116,88
320,983,HONG'S SZECHUAN RESTAURANT,94116,83.6
321,984,VANIDA THAI KITCHEN,94116,87.4
322,985,THE SUNSET'S BEST SEAFOOD RESTAURANT,94116,71
323,988,SUBMARINE CENTER,94127,92.66666667
324,991,"VILLAGE GRILL, THE",94127,81.33333333
325,993,CHICK-N-DELI,94112,96.5
326,994,RAILROAD EXPRESSO CAFE,94127,95.16666667
327,995,JO JO'S CAFE,94112,86.6
328,999,SERRANO'S PIZZA II,94110,92.4
329,1000,HEUNG YUEN RESTAURANT,94110,75.66666667
330,1001,CAFE VENICE,94110,82.2
331,1002,BIG MOUTH BURGERS,94110,84.6
332,1003,RINCON PERUANO RESTAURANT,94110,93.4
333,1005,CHAVITA'S MEXICAN RESTAURANT,94110,78
334,1008,VALENCIA PIZZA & PASTA,94110,92.8
335,1018,PETES BARBEQUE,94110,94.4
336,1021,LA SANTANECA DE LA MISSION,94110,91.6
337,1022,DAK WIN RESTAURANT,94110,79.6
338,1026,PHUKET THAI RESTAURANT,94117,91.33333333
339,1027,KK CAFE,94117,90
340,1031,IL BORGO,94102,92
341,1036,ALAMO SQUARE,94117,89.5
342,1038,GO GETTERS PIZZA,94102,89
343,1040,CUCO'S RESTAURANT,94117,92.66666667
344,1042,LOVE 'N HAIGHT COFFEE & DELI,94117,88.5
345,1043,CENTRAL COFFEE TEA & SPICE,94117,93.83333333
346,1047,PORK STORE CAFE,94117,85.5
347,1048,CREPE EXPRESS,94117,91.4
348,1050,RED VICTORIAN,94117,89.2
349,1060,BEAN THERE COFFEE & TEA,94117,90
350,1065,UNIVERSAL CAFE,94110,91.25
351,1074,WOODWARD'S GARDEN,94103,93.2
352,1075,"SANDWICH PLACE, THE",94110,88.4
353,1077,JEFF'S SUB SHOP,94110,91.5
354,1081,ARINELL PIZZA,94110,96
355,1085,STARBUCKS COFFEE,94105,95.2
356,1090,TRICOLORE CAFFE' AND PIZZERIA,94111,93
357,1091,LES CROISSANT,94111,97.4
358,1093,YOUNG'S BBQ,94110,86.2
359,1098,CREIGHTON'S CHEESE & FINE FOOD,94127,70.5
360,1102,HOANG DAT COFFEE SHOP,94109,95
361,1103,STARBUCKS COFFEE,94114,97.2
362,1111,SUBWAY 16604,94109,96.66666667
363,1116,STARBUCKS COFFEE,94123,99.6
364,1122,STARBUCKS COFFEE,94123,97.5
365,1124,SQUAT & GOBBLE CAFE #3,94114,87.2
366,1125,"PEET'S COFFEE & TEA, INC",94111,97
367,1127,STARBUCKS COFFEE,94104,100
368,1135,GEARY DRIVE IN,94115,92.75
369,1139,MINI CAFE,94102,86
370,1144,STAR BAGELS,94109,88.6
371,1146,AUX DELICES VIETNAM,94109,81.66666667
372,1147,UA TWIN STONESTOWN,94132,98.4
373,1151,POMELO ON CHURCH,94131,93.5
374,1154,SUNFLOWER RESTAURANT,94103,91.2
375,1156,BOUDIN PETIT CAFE,94102,96.4
376,1157,SUTTER CAFE,94108,86.25
377,1159,ZONA ROSA,94117,92.2
378,1170,PAKWAN,94102,77.4
379,1172,BALBOA SUSHI HOUSE,94118,97.4
380,1186,TULLY'S  COFFEE,94115,91.16666667
381,1188,OKINA SUSHI,94118,100
382,1190,MUGUBOKA,94118,90.5
383,1191,TEKKA JAPANESE RESTAURANT,94118,92.5
384,1193,PEET'S COFFEES & TEAS,94118,89.25
385,1194,SWEET THINGS,94118,98
386,1199,PANCHO'S,94118,91.25
387,1203,TAWAN'S THAI FOOD,94118,93.2
388,1204,ROYAL GROUND COFFEE,94121,91.2
389,1205,MINAKO JAPANESE RESTAURANT,94110,92.8
390,1207,TAQUERIA LA PAZ,94102,90.5
391,1208,SBC PIZZA DELI,94107,85.4
392,1216,ZAOH RESTAURANT,94103,82.66666667
393,1219,PAZZO,94103,89.4
394,1231,YAMO RESTAURANT,94110,89
395,1232,SUNFLOWER CAFE,94102,88.4
396,1241,BANWICH,94116,87
397,1243,JAVA SUPREME,94110,87.66666667
398,1244,THANH THANH,94121,85.66666667
399,1249,KABABAYAN FAST FOOD,94110,88.16666667
400,1259,KD'S GROG & GROCERY,94114,92
401,1261,REVERIE COFFEE CAFE,94117,80.75
402,1262,NORTH BEACH PIZZA,94117,78.5
403,1263,LAVA JAVA,94117,86.5
404,1265,STARBUCKS COFFEE,94122,93.5
405,1266,JAMBA JUICE,94122,95
406,1269,STARBUCKS COFFEE,94105,100
407,1273,JAY'S CHEESESTEAK #2,94117,92.33333333
408,1274,MORNING DUE,94104,93
409,1276,IRVING STREET CAFE,94122,69.33333333
410,1280,AMASIA HIDE'S SUSHI BAR,94114,98.5
411,1281,TRULY MEDITERRANEAN,94103,100
412,1282,MAXFIELDS,94110,97.6
413,1287,CHILANGO,94114,88.83333333
414,1289,ORPHAN ANDY'S,94114,88.83333333
415,1292,CASTRO THEATRE,94114,94.25
416,1294,ANCHOR OYSTER BAR INC.,94114,92.8
417,1296,TAQUERIA EL BUEN SABOR,94112,96.2
418,1298,FAYE'S VIDEO & ESPRESSO,94110,98.8
419,1300,WE BE SUSHI,94110,96.2
420,1304,RAIN TREE CAFE,94122,84.5
421,1317,TIKKA MASALA,94122,85.33333333
422,1318,GORDO TAQUERIA #6,94121,92.5
423,1322,"LA MEDITERRANEE I, INC.",94115,95
424,1323,THE BLACK HORSE LONDON DELI,94123,87.33333333
425,1326,CAFE BONA VITA,94115,91.66666667
426,1327,SEA BISCUIT CAFE,94122,89.66666667
427,1332,CHLOE'S,94114,85
428,1337,SAN MIGUEL RESTAURANT #2,94110,86.2
429,1339,HIGHER GROUNDS,94131,93.5
430,1341,SPIKE'S COFFEES & TEAS,94114,91
431,1343,HOTEI JAPANESE RESTAURANT,94122,73.8
432,1344,BEANERY,94122,92.66666667
433,1345,CORDON BLEU,94109,87.5
434,1347,CREPES ON COLE,94117,77
435,1350,KING OF THAI NOODLE HOUSE,94118,92
436,1351,EXIT THEATRE,94102,94.25
437,1352,LA TORTILLA,94114,88.4
438,1354,SUSHI TIME,94114,95.8
439,1358,MING'S FONG LAM RESTAURANT,94110,80
440,1359,STARBUCKS COFFEE,94115,97.33333333
441,1362,RESTAURANTE FAMILIAR,94112,97.2
442,1366,CAFE LA TAZA,94110,94
443,1368,STARBUCKS COFFEE,94111,97.5
444,1373,DOS PINAS,94103,87.6
445,1379,EL PEROL RESTAURANT,94110,94
446,1381,PEBBLE'S CAFE,94131,95.4
447,1386,EUNICE'S CAFE,94118,95.25
448,1389,GASPARE'S PIZZA HOUSE & REST.,94121,92.75
449,1391,JAMBA JUICE,94103,94.5
450,1392,SWEET JOANNA'S,94103,90
451,1395,WHAT A GRIND,94109,89.33333333
452,1396,SAUCE SF,94102,90.5
453,1398,YUMMA'S MED GRILL,94122,81.33333333
454,1399,LA COPA LOCA,94110,97.4
455,1400,CHEZ SPENCER,94103,98
456,1401,COFFEE CABIN,94109,100
457,1409,STARBUCKS COFFEE,94105,94.5
458,1413,STARBUCKS COFFEE,94121,100
459,1426,SWEET DELIGHT BAKERY,94112,88.4
460,1427,MIFUNE DON,94115,93.66666667
461,1434,HOLEY BAGEL BAKERY,94114,93.8
462,1438,CABLE CAR COFFEE CO,94102,90.2
463,1442,WATERFRONT BAKERY,94133,92.5
464,1444,STARBUCKS COFFEE,94111,98.4
465,1452,CAFE V,94103,87.66666667
466,1454,KISS SEAFOOD,94115,91.5
467,1458,CREPE O CHOCOLAT,94108,80.5
468,1465,BAZAAR CAFE,94121,94
469,1466,WHOLE FOODS STEEP BREW,94109,99.5
470,1469,HOLIDAY INN EXPRESS-MAIN KITCHEN,94133,93.75
471,1473,PRONTO PIZZA & ESPRESSO,94109,85.75
472,1480,TU KIM'S CAFE,94109,93
473,1482,A2 CAFE,94107,92.8
474,1486,STARBUCKS COFFEE,94127,96.4
475,1487,PEET'S COFFEE & TEA,94105,96.4
476,1490,ZEKE'S DIAMOND BAR,94107,86.75
477,1491,LIVERPOOL LIL'S,94123,86.2
478,1493,PEET'S COFFEE & TEA,94111,92.6
479,1496,FOUR SEASONS HOTEL- EMPLOYEE  CAFETERIA,94103,95.8
480,1503,NOAH'S NEW YORK BAGELS #3199,94111,91.4
481,1505,STARBUCKS COFFEE,94108,95
482,1508,NONNA ROSE RESTAURANT,94133,87.25
483,1509,CLUB WAZIEMA,94117,89.33333333
484,1511,MAMA' ART CAFE,94112,97.33333333
485,1515,AT&T - COGNAC BAR/ KITCHEN ROOM3232 [145080],94107,97.14285714
486,1516,AT&T - FIELD CLUB KITCHEN [145082],94107,92.5
487,1517,AT&T -IN-SEAT SERVICE KITCHEN/PRESS DINING [145081],94107,94.14285714
488,1520,STARBUCKS COFFEE,94103,99.6
489,1526,CHOUQUET'S,94115,88.2
490,1527,CITY'S CHOICE,94107,89
491,1529,STARBUCKS COFFEE,94107,99.2
492,1532,NEIMAN MARCUS ON THE SQUARE,94108,89.8
493,1534,CAFE NIEBAUM COPPOLA,94133,86
494,1542,I LUV TERIYAKI AND SUSHI,94103,86.66666667
495,1544,OMNI S.F. HOTEL - FOOD & BEVERAGE STOREROOM,94104,99.6
496,1549,CAFE BELLINI,94102,94
497,1554,KADOK'S,94112,81.83333333
498,1555,FINO,94109,100
499,1561,HANG AH TEA ROOM,94108,75.5
500,1564,CORNELL HOTEL - JEANNE D'ARC,94108,98.8
501,1565,UNCLE VITO'S PIZZA,94108,88.6
502,1566,ASIA CHINESE FOOD #2,94133,87.66666667
503,1567,TANPOPO,94115,77.5
504,1568,901 COLUMBUS,94133,93
505,1571,SF BAY CLUB - COURT CAFE,94111,91.5
506,1579,NICK'S LIGHTHOUSE,94133,91
507,1582,CAFFE BIANCO,94104,99.33333333
508,1583,SABELLA AND LATORRE,94133,86.25
509,1584,ESPERPENTO RESTAURANT,94110,81.6
510,1585,KENTUCKY FRIED CHICKEN,94123,89.5
511,1588,MACARONI EXPRESS,94133,71
512,1594,YOUNG'S RESTAURANT,94108,81.5
513,1595,ZAZIE,94117,75.33333333
514,1596,BURGERMEISTER,94117,84.66666667
515,1598,CAFE BEAN,94109,97.2
516,1601,PASTA POMODORO,94114,89.25
517,1604,TAO YIN RESTAURANT,94110,75.2
518,1607,LE ZINC,94114,93.5
519,1608,CLADDAGH COFFEE,94112,94.5
520,1609,TUNG SING RESTAURANT,94114,80.6
521,1613,BRICK HOUSE CAFE,94107,93.66666667
522,1614,STARBUCKS COFFEE,94105,99.42857143
523,1615,STARBUCKS COFFEE,94111,100
524,1616,LAS ESTRELLAS STELLINE,94102,93.75
525,1617,CLEMENT BBQ RESTAURANT,94118,84.66666667
526,1619,BENDERS BAR & GRILL,94110,98
527,1623,BISTRO BURGER,94104,93.75
528,1626,LUPA TRATTORIA,94114,93.75
529,1631,CASA MEXICANA RESTAURANT,94114,85.5
530,1632,SWEET CHINITO,94110,98.4
531,1633,EAGLE DONUTS,94110,94
532,1635,KEZAR PUB,94117,80
533,1636,AXUM,94117,95
534,1641,MARTHA & BROS. COFFEE CO,94131,92.2
535,1643,SUSHI GROOVE SOUTH,94107,81
536,1649,COURTYARD BY MARRIOTT-RESTAURANT,94105,98.8
537,1652,STARBUCKS COFFEE,94105,100
538,1664,PANDA EXPRESS,94103,98
539,1667,CONNECTICUT YANKEE,94107,76.5
540,1668,SILVER CREST DONUT SHOP,94124,96.75
541,1671,JUST FOR YOU CAFE INC.,94107,92.8
542,1672,WORKING GIRLS' CAFE III,94105,92.25
543,1673,RUBIN'S,94105,96
544,1674, NORDSTROM CAFE BISTRO,94103,87.2
545,1677,PRIMO PATIO CAFE,94107,89.75
546,1684,KAY CHEUNG SEAFOOD RESTAURANT,94133,81.8
547,1685,"NEW LUN TING CAFE, INC",94133,88.4
548,1687,SAI'S VIETNAMESE RESTAURANT,94111,77.5
549,1691,MARK HOPKINS HOTEL - EMPLOYEES CAFETERIA,94108,92.25
550,1692,PLOUF,94104,96.2
551,1699,TWI LIGHT CAFE,94118,99
552,1700,RAINTREE CAFE,94127,72.66666667
553,1702,EL TOREADOR FONDA MEXICANA RESTAURANT,94127,75
554,1703,LANNA RESTAURANT,94122,95
555,1708,LE SOLEIL AUTHENTIC VIETNAMESE,94118,92.6
556,1710,EMPORIO RULLI IL CAFFE AT UNION SQUARE,94108,87.4
557,1712,SEA BREEZE CAFE,94122,92.75
558,1718,JOE'S EXCELLENT CHINESE CUISINE,94127,72.83333333
